_id,city,county_fips,county_fips_all,county_name,county_names_all,county_weights,density,imprecise,lat,lng,military,parent_zcta,population,state_id,state_name,timezone,zcta,zip
5e4e00d4ab1cf3ecceab2e5a,Jefferson,25027,25027,Worcester,Worcester,{'25027':100},78.0,False,42.38137,-71.86913,False,,3176,MA,Massachusetts,America/New_York,True,1522
5e4e00d4ab1cf3ecceab2e5b,Lancaster,25027,25027,Worcester,Worcester,{'25027':100},116.2,False,42.47971,-71.67844,False,,7749,MA,Massachusetts,America/New_York,True,1523
5e4e00d4ab1cf3ecceab2e5c,Leicester,25027,25027,Worcester,Worcester,{'25027':100},161.8,False,42.24923,-71.91983,False,,6902,MA,Massachusetts,America/New_York,True,1524
5e4e00d4ab1cf3ecceab2e5d,Linwood,25027,25027,Worcester,Worcester,{'25027':100},249.5,False,42.10683,-71.63236,False,,400,MA,Massachusetts,America/New_York,True,1525
5e4e00d4ab1cf3ecceab2e5e,Millbury,25027,25027,Worcester,Worcester,{'25027':100},328.3,False,42.19218,-71.77416,False,,13630,MA,Massachusetts,America/New_York,True,1527
5e4e00d4ab1cf3ecceab2e5f,Millville,25027,25027,Worcester,Worcester,{'25027':100},253.2,False,42.03905,-71.57766,False,,3242,MA,Massachusetts,America/New_York,True,1529
5e4e00d4ab1cf3ecceab2e60,New Braintree,25027,25027,Worcester,Worcester,{'25027':100},18.6,False,42.31929,-72.12795,False,,1298,MA,Massachusetts,America/New_York,True,1531
5e4e00d4ab1cf3ecceab2e61,Northborough,25027,25027,Worcester,Worcester,{'25027':100},295.9,False,42.32315,-71.64621,False,,14985,MA,Massachusetts,America/New_York,True,1532
5e4e00d4ab1cf3ecceab2e62,Northbridge,25027,25027,Worcester,Worcester,{'25027':100},248.2,False,42.14043,-71.643,False,,6311,MA,Massachusetts,America/New_York,True,1534
5e4e00d4ab1cf3ecceab2e63,North Brookfield,25027,25027,Worcester,Worcester,{'25027':100},85.0,False,42.2695,-72.07795,False,,4764,MA,Massachusetts,America/New_York,True,1535
5e4e00d4ab1cf3ecceab2e64,North Grafton,25027,25027,Worcester,Worcester,{'25027':100},319.0,False,42.23236,-71.69101,False,,7786,MA,Massachusetts,America/New_York,True,1536
5e4e00d4ab1cf3ecceab2e65,North Oxford,25027,25027,Worcester,Worcester,{'25027':100},124.3,False,42.16157,-71.89148,False,,2289,MA,Massachusetts,America/New_York,True,1537
5e4e00d4ab1cf3ecceab2e66,Oxford,25027,25027,Worcester,Worcester,{'25027':100},225.4,False,42.11634,-71.85733,False,,11484,MA,Massachusetts,America/New_York,True,1540
5e4e00d4ab1cf3ecceab2e67,Princeton,25027,25027,Worcester,Worcester,{'25027':100},37.2,False,42.45649,-71.88128,False,,3443,MA,Massachusetts,America/New_York,True,1541
5e4e00d4ab1cf3ecceab2e68,Rochdale,25027,25027,Worcester,Worcester,{'25027':100},211.2,False,42.20187,-71.91079,False,,2314,MA,Massachusetts,America/New_York,True,1542
5e4e00d4ab1cf3ecceab2e69,Rutland,25027,25027,Worcester,Worcester,{'25027':100},87.7,False,42.38482,-71.96727,False,,8586,MA,Massachusetts,America/New_York,True,1543
5e4e00d4ab1cf3ecceab2e6a,Shrewsbury,25027,25027,Worcester,Worcester,{'25027':100},657.0,False,42.28423,-71.71554,False,,36666,MA,Massachusetts,America/New_York,True,1545
5e4e00d4ab1cf3ecceab2e6b,Southbridge,25027,25027,Worcester,Worcester,{'25027':100},319.0,False,42.06039,-72.03377,False,,16894,MA,Massachusetts,America/New_York,True,1550
5e4e00d4ab1cf3ecceab2e6c,South Grafton,25027,25027,Worcester,Worcester,{'25027':100},490.7,False,42.17496,-71.67756,False,,4401,MA,Massachusetts,America/New_York,True,1560
5e4e00d4ab1cf3ecceab2e6d,South Lancaster,25027,25027,Worcester,Worcester,{'25027':100},1033.6,False,42.44395,-71.6855,False,,294,MA,Massachusetts,America/New_York,True,1561
5e4e00d4ab1cf3ecceab2e6e,Spencer,25027,25027,Worcester,Worcester,{'25027':100},137.4,False,42.24715,-71.99189,False,,11913,MA,Massachusetts,America/New_York,True,1562
5e4e00d4ab1cf3ecceab2e6f,Sterling,25027,25027,Worcester,Worcester,{'25027':100},98.5,False,42.44124,-71.77297,False,,8052,MA,Massachusetts,America/New_York,True,1564
5e4e00d4ab1cf3ecceab2e70,Sturbridge,25027,25027,Worcester,Worcester,{'25027':100},85.7,False,42.1024,-72.08116,False,,5618,MA,Massachusetts,America/New_York,True,1566
5e4e00d4ab1cf3ecceab2e71,Upton,25027,25027,Worcester,Worcester,{'25027':100},134.6,False,42.17702,-71.60467,False,,7762,MA,Massachusetts,America/New_York,True,1568
5e4e00d4ab1cf3ecceab2e72,Uxbridge,25027,25027,Worcester,Worcester,{'25027':100},180.2,False,42.05873,-71.63708,False,,13939,MA,Massachusetts,America/New_York,True,1569
5e4e00d4ab1cf3ecceab2e73,Webster,25027,25027,Worcester,Worcester,{'25027':100},523.9,False,42.05206,-71.8485,False,,16971,MA,Massachusetts,America/New_York,True,1570
5e4e00d4ab1cf3ecceab2e74,Dudley,25027,25027,Worcester,Worcester,{'25027':100},211.1,False,42.05501,-71.93519,False,,11682,MA,Massachusetts,America/New_York,True,1571
5e4e00d4ab1cf3ecceab2e75,Westborough,25027,25027,Worcester,Worcester,{'25027':100},342.4,False,42.26816,-71.61402,False,,18982,MA,Massachusetts,America/New_York,True,1581
5e4e00d4ab1cf3ecceab2e76,West Boylston,25027,25027,Worcester,Worcester,{'25027':100},232.3,False,42.37025,-71.78499,False,,7676,MA,Massachusetts,America/New_York,True,1583
5e4e00d4ab1cf3ecceab2e77,West Brookfield,25027,25027,Worcester,Worcester,{'25027':100},68.8,False,42.24152,-72.16193,False,,4574,MA,Massachusetts,America/New_York,True,1585
5e4e00d4ab1cf3ecceab2e78,Whitinsville,25027,25027,Worcester,Worcester,{'25027':100},436.5,False,42.11992,-71.66955,False,,9775,MA,Massachusetts,America/New_York,True,1588
5e4e00d4ab1cf3ecceab2e79,Sutton,25027,25027,Worcester,Worcester,{'25027':100},107.0,False,42.13395,-71.75087,False,,9385,MA,Massachusetts,America/New_York,True,1590
5e4e00d4ab1cf3ecceab2e7a,Worcester,25027,25027,Worcester,Worcester,{'25027':100},1527.5,False,42.27223,-71.84951,False,,23854,MA,Massachusetts,America/New_York,True,1602
5e4e00d4ab1cf3ecceab2e7b,Worcester,25027,25027,Worcester,Worcester,{'25027':100},1704.2,False,42.24406,-71.84445,False,,19336,MA,Massachusetts,America/New_York,True,1603
5e4e00d4ab1cf3ecceab2e7c,Worcester,25027,25027,Worcester,Worcester,{'25027':100},2079.6,False,42.25146,-71.76773,False,,37468,MA,Massachusetts,America/New_York,True,1604
5e4e00d4ab1cf3ecceab2e7d,Worcester,25027,25027,Worcester,Worcester,{'25027':100},1794.7,False,42.28947,-71.78751,False,,28820,MA,Massachusetts,America/New_York,True,1605
5e4e00d4ab1cf3ecceab2e7e,Worcester,25027,25027,Worcester,Worcester,{'25027':100},1242.5,False,42.31444,-71.79556,False,,19729,MA,Massachusetts,America/New_York,True,1606
5e4e00d4ab1cf3ecceab2e7f,Worcester,25027,25027,Worcester,Worcester,{'25027':100},1019.5,False,42.22748,-71.78877,False,,8583,MA,Massachusetts,America/New_York,True,1607
5e4e00d4ab1cf3ecceab2e80,Worcester,25027,25027,Worcester,Worcester,{'25027':100},3354.3,False,42.26185,-71.80162,False,,3639,MA,Massachusetts,America/New_York,True,1608
5e4e00d4ab1cf3ecceab2e81,Worcester,25027,25027,Worcester,Worcester,{'25027':100},2265.6,False,42.28645,-71.82895,False,,21142,MA,Massachusetts,America/New_York,True,1609
5e4e00d4ab1cf3ecceab2e82,Worcester,25027,25027,Worcester,Worcester,{'25027':100},4352.1,False,42.24674,-71.80966,False,,23040,MA,Massachusetts,America/New_York,True,1610
5e4e00d4ab1cf3ecceab2e83,Cherry Valley,25027,25027,Worcester,Worcester,{'25027':100},251.5,False,42.23829,-71.87726,False,,2241,MA,Massachusetts,America/New_York,True,1611
5e4e00d4ab1cf3ecceab2e84,Paxton,25027,25027,Worcester,Worcester,{'25027':100},122.2,False,42.31035,-71.93077,False,,4870,MA,Massachusetts,America/New_York,True,1612
5e4e00d4ab1cf3ecceab2e85,Framingham,25017,25017,Middlesex,Middlesex,{'25017':100},710.4,False,42.32174,-71.43817,False,,32570,MA,Massachusetts,America/New_York,True,1701
5e4e00d4ab1cf3ecceab2e86,Framingham,25017,25017,Middlesex,Middlesex,{'25017':100},1775.8,False,42.28217,-71.43387,False,,39149,MA,Massachusetts,America/New_York,True,1702
5e4e00d4ab1cf3ecceab2e87,Acton,25017,25017,Middlesex,Middlesex,{'25017':100},3899.9,False,42.51973,-71.42939,False,,813,MA,Massachusetts,America/New_York,True,1718
5e4e00d4ab1cf3ecceab2e88,Boxborough,25017,25017,Middlesex,Middlesex,{'25017':100},187.5,False,42.48836,-71.51782,False,,5794,MA,Massachusetts,America/New_York,True,1719
5e4e00d4ab1cf3ecceab2e89,Acton,25017,25017,Middlesex,Middlesex,{'25017':100},418.4,False,42.48417,-71.43805,False,,22684,MA,Massachusetts,America/New_York,True,1720
5e4e00d4ab1cf3ecceab2e8a,Ashland,25017,25017,Middlesex,Middlesex,{'25017':100},519.3,False,42.25729,-71.46866,False,,17576,MA,Massachusetts,America/New_York,True,1721
5e4e00d4ab1cf3ecceab2e8b,Bedford,25017,25017,Middlesex,Middlesex,{'25017':100},372.6,False,42.49697,-71.27834,False,,14053,MA,Massachusetts,America/New_York,True,1730
5e4e00d4ab1cf3ecceab2e8c,Hanscom Afb,25017,25017,Middlesex,Middlesex,{'25017':100},680.4,False,42.45675,-71.27952,False,,2061,MA,Massachusetts,America/New_York,True,1731
5e4e00d4ab1cf3ecceab2e8d,Bolton,25027,25027,Worcester,Worcester,{'25027':100},94.8,False,42.43616,-71.60728,False,,5236,MA,Massachusetts,America/New_York,True,1740
5e4e00d4ab1cf3ecceab2e8e,Carlisle,25017,25017,Middlesex,Middlesex,{'25017':100},122.6,False,42.53001,-71.35128,False,,5186,MA,Massachusetts,America/New_York,True,1741
5e4e00d4ab1cf3ecceab2e8f,Concord,25017,25017,Middlesex,Middlesex,{'25017':100},280.1,False,42.46225,-71.36424,False,,19350,MA,Massachusetts,America/New_York,True,1742
