,Address,AreaSpace_SQFT,Bathrooms,Bedrooms,Cooling,Date_available,DaysOnZillow,Deposit_fees,Description,HOAFee,Heating,Latitude,Laundry,Locality,Longitude,Lot,Parking,Pets,PredictionPrice,PredictionRent,Price,Price_PerSQFT,Rent,RentRatio,Rentzestimate,SaleHistory,Saves,State,Status,TransitScore,Type,WalkScore,YearBuilt,ZestimatePrice,ZipCode,_id,location,zid
,"4630 Reka Dr, Apartment C05, Anchorage, AK 99508",661,1.0,1,Central,,,,,$278/month,Baseboard,61.204152,,Anchorage,-149.794697,,"Carport, Attached Garage",,,891.8851001740597,63500,96,,0.01404543464841039,,"[{'price': '$63,500(-12.4%)', 'event': 'Listed for sale', 'date': '2/1/2019'}, {'price': '$72,500--', 'event': 'Listing removed', 'date': '9/23/2015'}, {'price': '$72,500(-2.5%)', 'event': 'Price change', 'date': '9/3/2015'}, {'price': '$74,397(-0.1%)', 'event': 'Price change', 'date': '8/2/2015'}, {'price': '$74,500(-5.7%)', 'event': 'Price change', 'date': '7/16/2015'}]",,AK,For sale,,Condo,,1978,65719,99508,5d027b74882c28a161aa5dbf,"{'coordinates': [-149.794697, 61.204152], 'type': 'Point'}",10179
,"339 S 5th St, Philadelphia, PA 19106",3006,3.0,4,Central,,,,,,Forced air,39.944018,,Philadelphia,-75.150095,"1,306 sqft",1 space,,,3975.3941411900864,1745000,581,,0.0022781628316275566,,"[{'event': 'Listed for sale', 'price': '$1,745,000(+94.8%)', 'date': '6/19/2019'}, {'event': 'Sold', 'price': '$896,000(+0.1%)', 'date': '5/17/2013'}, {'event': 'Listing removed', 'price': '$895,000--', 'date': '3/19/2013'}, {'event': 'Listed for sale', 'price': '$895,000--', 'date': '3/15/2013'}]",,PA,For sale,,Townhouse,,1973,1603412,19106,5d09d2abf184f611416d9931,"{'type': 'Point', 'coordinates': [-75.150095, 39.944018]}",10196027
,"4630 Reka Dr, Apartment C17, Anchorage, AK 99508",859,1.0,2,Central,,,,,$278/month,Baseboard,61.204152,,Anchorage,-149.794697,,1 space,,,1237.5077348475434,79500,93,,0.015566135029528848,,"[{'date': '6/5/2019', 'event': 'Listed for sale', 'price': '$79,500--'}, {'date': '9/20/2017', 'event': 'Listing removed', 'price': '$865--'}, {'date': '9/11/2017', 'event': 'Price change', 'price': '$865(-13.5%)'}, {'date': '8/2/2017', 'event': 'Listed for rent', 'price': '$1,000--'}, {'date': '3/14/2017', 'event': 'Listing removed', 'price': '$1,000--'}]",,AK,For sale,,Condo,,1978,79450,99508,5d004f55783b0338214aea44,"{'type': 'Point', 'coordinates': [-149.794697, 61.204152]}",10199
,"4620 Reka Dr, Apartment B20, Anchorage, AK 99508",661,1.0,1,Central,,,,,$278/month,Baseboard,61.204151,,Anchorage,-149.794988,,No Data,,,891.8851001740597,71500,108,,0.012473917484951885,,"[{'price': '$71,500--', 'event': 'Listed for sale', 'date': '4/5/2019'}, {'price': '$71,500--', 'event': 'Listing removed', 'date': '3/12/2018'}, {'price': '$925--', 'event': 'Listing removed', 'date': '3/6/2018'}, {'price': '$71,500--', 'event': 'Price change', 'date': '2/3/2018'}, {'price': '$925--', 'event': 'Listed for rent', 'date': '1/5/2018'}]",,AK,For sale,,Condo,,1978,73004,99508,5d027a8b882c28a161aa5db0,"{'coordinates': [-149.794988, 61.204151], 'type': 'Point'}",10222
,"4620 Reka Dr, Apartment B17, Anchorage, AK 99508",859,1.0,2,Central,,,,,$323/month,Forced air,61.204151,,Anchorage,-149.794988,,No Data,,,1237.5077348475434,67500,79,,0.01833344792366731,,"[{'price': '$67,500(-2.2%)', 'event': 'Price change', 'date': '6/12/2019'}, {'price': '$69,000(-13.2%)', 'event': 'Price change', 'date': '5/3/2019'}, {'price': '$79,500--', 'event': 'Listed for sale', 'date': '3/19/2019'}]",,AK,For sale,,Condo,,1978,73047,99508,5d027ae9882c28a161aa5db5,"{'coordinates': [-149.794988, 61.204151], 'type': 'Point'}",10223
,"4610 Reka Dr, Apartment A11, Anchorage, AK 99508",661,1.0,1,Central,,,,,$202/month,Baseboard,61.20415,,Anchorage,-149.795279,,No Data,,,891.8851001740597,75000,113,,0.01189180133565413,,"[{'price': '$75,000(-4.5%)', 'event': 'Price change', 'date': '6/3/2019'}, {'price': '$78,500(+17.3%)', 'event': 'Listed for sale', 'date': '5/3/2019'}, {'price': '$66,900--', 'event': 'Listing removed', 'date': '3/7/2016'}, {'price': '$66,900--', 'event': 'Back on market', 'date': '2/11/2016'}, {'price': '$66,900--', 'event': 'Pending sale', 'date': '2/11/2016'}]",,AK,For sale,,Condo,,1978,74720,99508,5d027747882c28a161aa5da3,"{'coordinates': [-149.795279, 61.20415], 'type': 'Point'}",10236
,"204 W Pee Dee St, Nichols, SC 29581",1309,2.0,3,No Data,,,,,,No Data,,,Nichols,,No Data,Attached Garage,,,1323.844114716458,24900,19,,0.053166430309897914,,"[{'price': '$24,900--', 'date': '6/6/2019', 'event': 'Listed for sale'}]",,SC,For sale,,Single Family,,1980,0,29581,5cf8c6a50627bf22fecf3042,,102448591
,"4207 Prelude Pass Dr, Elmendorf, TX 78112",2126,3.0,5,Central,,,,,,Forced air,29.193796,,Elmendorf,-98.405828,0.41 acres,No Data,,,1921.0533780988935,210000,99,,0.00914787322904235,,"[{'event': 'Price change', 'date': '4/25/2019', 'price': '$210,000(-4.5%)'}, {'event': 'Price change', 'date': '4/3/2019', 'price': '$220,000(-4.3%)'}, {'event': 'Price change', 'date': '2/19/2019', 'price': '$230,000(+4.6%)'}, {'event': 'Price change', 'date': '12/10/2018', 'price': '$219,900(-6.4%)'}, {'event': 'Listed for sale', 'date': '7/1/2018', 'price': '$234,900(+1607.5%)'}]",,TX,For sale,,Single Family,,2013,213490,78112,5cff30ed50bcd3bcc330e86f,"{'type': 'Point', 'coordinates': [-98.405828, 29.193796]}",102453341
,"Rockport StAtascosa, TX 78002",924,0.0,0,Central,,,,,,Forced air,29.323754,,Rockport StAtascosa,-98.691268,"9,365 sqft",No Data,,,,,,,,,"[{'event': 'Sold', 'date': '7/31/2009', 'price': '$12,000'}]",,TX,Sold,,Single Family,,1980,86772,78002,5cff2f1450bcd3bcc330e850,"{'type': 'Point', 'coordinates': [-98.691268, 29.323754]}",102464257
,"10141 Ladd RdAtascosa, TX 78002",0,0.0,0,No Data,,,,,,No Data,29.323747,,10141 Ladd RdAtascosa,-98.691694,0.43 acres,No Data,,,,,,,,,,,TX,Sold,,Single Family,,No Data,0,78002,5cff2f6450bcd3bcc330e857,"{'type': 'Point', 'coordinates': [-98.691694, 29.323747]}",102481359
